Name,Total,SFW,Purity %
Universal_bullin,54,48,=100-(($B2-$C2)/$B2)*100
Trial_bullin_mkii,31,30,=100-(($B3-$C3)/$B3)*100
Dewey,17,14,=100-(($B4-$C4)/$B4)*100
Cassin,52,42,=100-(($B5-$C5)/$B5)*100
Downes,46,39,=100-(($B6-$C6)/$B6)*100
Gridley,43,39,=100-(($B7-$C7)/$B7)*100
Craven,19,14,=100-(($B8-$C8)/$B8)*100
Mccall,10,9,=100-(($B9-$C9)/$B9)*100
Maury,15,9,=100-(($B10-$C10)/$B10)*100
Fletcher,14,12,=100-(($B11-$C11)/$B11)*100
Charles_ausburne,33,25,=100-(($B12-$C12)/$B12)*100
Thatcher,13,11,=100-(($B13-$C13)/$B13)*100
Aulick,15,11,=100-(($B14-$C14)/$B14)*100
Foote,39,28,=100-(($B15-$C15)/$B15)*100
Spence,18,14,=100-(($B16-$C16)/$B16)*100
Benson,29,26,=100-(($B17-$C17)/$B17)*100
Laffey,1314,1092,=100-(($B18-$C18)/$B18)*100
Sims,103,89,=100-(($B19-$C19)/$B19)*100
Hammann,734,562,=100-(($B20-$C20)/$B20)*100
Eldridge,527,387,=100-(($B21-$C21)/$B21)*100
Omaha,3,3,=100-(($B22-$C22)/$B22)*100
Raleigh,6,5,=100-(($B23-$C23)/$B23)*100
Brooklyn,40,30,=100-(($B24-$C24)/$B24)*100
Phoenix,31,25,=100-(($B25-$C25)/$B25)*100
Helena,173,159,=100-(($B26-$C26)/$B26)*100
Atlanta,25,25,=100-(($B27-$C27)/$B27)*100
Juneau,39,16,=100-(($B28-$C28)/$B28)*100
San_diego,246,199,=100-(($B29-$C29)/$B29)*100
Cleveland,678,580,=100-(($B30-$C30)/$B30)*100
Columbia,56,52,=100-(($B31-$C31)/$B31)*100
Pensacola,6,4,=100-(($B32-$C32)/$B32)*100
Salt_lake_city,5,4,=100-(($B33-$C33)/$B33)*100
Northampton,17,16,=100-(($B34-$C34)/$B34)*100
Chicago,3,3,=100-(($B35-$C35)/$B35)*100
Houston,11,10,=100-(($B36-$C36)/$B36)*100
Portland,204,167,=100-(($B37-$C37)/$B37)*100
Indianapolis,162,131,=100-(($B38-$C38)/$B38)*100
Astoria,23,18,=100-(($B39-$C39)/$B39)*100
Quincy,21,15,=100-(($B40-$C40)/$B40)*100
Vincennes,16,15,=100-(($B41-$C41)/$B41)*100
Wichita,35,31,=100-(($B42-$C42)/$B42)*100
Baltimore,205,150,=100-(($B43-$C43)/$B43)*100
Nevada,13,12,=100-(($B44-$C44)/$B44)*100
Oklahoma,22,20,=100-(($B45-$C45)/$B45)*100
Pennsylvania,19,13,=100-(($B46-$C46)/$B46)*100
