Name,Total,SFW,Purity %
Kongou,11764,10417,=100-(($B2-$C2)/$B2)*100
Hiei,3917,3685,=100-(($B3-$C3)/$B3)*100
Haruna,7621,6433,=100-(($B4-$C4)/$B4)*100
Kirishima,3811,3417,=100-(($B5-$C5)/$B5)*100
Fusou,2428,2210,=100-(($B6-$C6)/$B6)*100
Yamashiro,3601,3329,=100-(($B7-$C7)/$B7)*100
Ise,1731,1614,=100-(($B8-$C8)/$B8)*100
Hyuuga,2256,2107,=100-(($B9-$C9)/$B9)*100
Nagato,7861,6962,=100-(($B10-$C10)/$B10)*100
Mutsu,4373,3697,=100-(($B11-$C11)/$B11)*100
Yamato,4556,3923,=100-(($B12-$C12)/$B12)*100
Musashi,3404,2753,=100-(($B13-$C13)/$B13)*100
Bismarck,4286,3567,=100-(($B14-$C14)/$B14)*100
Littorio,911,810,=100-(($B15-$C15)/$B15)*100
Roma,791,721,=100-(($B16-$C16)/$B16)*100
Iowa,3242,2616,=100-(($B17-$C17)/$B17)*100
Warspite,2157,1924,=100-(($B18-$C18)/$B18)*100
Gangut,1543,1459,=100-(($B19-$C19)/$B19)*100
Richelieu,691,596,=100-(($B20-$C20)/$B20)*100
Nelson,377,343,=100-(($B21-$C21)/$B21)*100
Colorado,569,481,=100-(($B22-$C22)/$B22)*100
Akagi,11018,10321,=100-(($B23-$C23)/$B23)*100
Kaga,17966,15720,=100-(($B24-$C24)/$B24)*100
Souryuu,3802,3215,=100-(($B25-$C25)/$B25)*100
Hiryuu,3274,2996,=100-(($B26-$C26)/$B26)*100
Shoukaku,5553,4768,=100-(($B27-$C27)/$B27)*100
Zuikaku,8498,7725,=100-(($B28-$C28)/$B28)*100
Unryuu,2153,1601,=100-(($B29-$C29)/$B29)*100
Amagi,828,745,=100-(($B30-$C30)/$B30)*100
Katsuragi,1486,1395,=100-(($B31-$C31)/$B31)*100
Taihou,2476,2069,=100-(($B32-$C32)/$B32)*100
Graf_zeppelin,3177,2627,=100-(($B33-$C33)/$B33)*100
Aquila,766,730,=100-(($B34-$C34)/$B34)*100
Saratoga,1695,1379,=100-(($B35-$C35)/$B35)*100
Intrepid,526,450,=100-(($B36-$C36)/$B36)*100
Ark_royal,982,906,=100-(($B37-$C37)/$B37)*100
Houshou,6157,5619,=100-(($B38-$C38)/$B38)*100
Ryuujou,6992,6275,=100-(($B39-$C39)/$B39)*100
Shouhou,1059,967,=100-(($B40-$C40)/$B40)*100
Zuihou,2761,2425,=100-(($B41-$C41)/$B41)*100
Hiyou,724,670,=100-(($B42-$C42)/$B42)*100
Jun'you,1771,1631,=100-(($B43-$C43)/$B43)*100
Kasuga_maru,449,411,=100-(($B44-$C44)/$B44)*100
Shin'you,199,182,=100-(($B45-$C45)/$B45)*100
Gambier_bay,1378,1244,=100-(($B46-$C46)/$B46)*100
Furutaka,1088,993,=100-(($B47-$C47)/$B47)*100
Kako,890,765,=100-(($B48-$C48)/$B48)*100
Aoba,2237,2076,=100-(($B49-$C49)/$B49)*100
Kinugasa,1061,980,=100-(($B50-$C50)/$B50)*100
Myoukou,1155,1075,=100-(($B51-$C51)/$B51)*100
Nachi,1533,1404,=100-(($B52-$C52)/$B52)*100
Ashigara,2145,1916,=100-(($B53-$C53)/$B53)*100
Haguro,1743,1475,=100-(($B54-$C54)/$B54)*100
Takao,3993,2570,=100-(($B55-$C55)/$B55)*100
Atago,5750,3672,=100-(($B56-$C56)/$B56)*100
Maya,2730,2363,=100-(($B57-$C57)/$B57)*100
Choukai,1498,1283,=100-(($B58-$C58)/$B58)*100
Mogami,2036,1775,=100-(($B59-$C59)/$B59)*100
Mikuma,929,843,=100-(($B60-$C60)/$B60)*100
Suzuya,6344,4945,=100-(($B61-$C61)/$B61)*100
Kumano,2251,2004,=100-(($B62-$C62)/$B62)*100
Tone,1786,1545,=100-(($B63-$C63)/$B63)*100
Chikuma,979,817,=100-(($B64-$C64)/$B64)*100
Prinz_eugen,4812,3763,=100-(($B65-$C65)/$B65)*100
Zara,784,685,=100-(($B66-$C66)/$B66)*100
Pola,1319,1090,=100-(($B67-$C67)/$B67)*100
Houston,77,72,=100-(($B68-$C68)/$B68)*100
Tenryuu,10403,8970,=100-(($B69-$C69)/$B69)*100
Tatsuta,4906,4299,=100-(($B70-$C70)/$B70)*100
Kuma,2542,2443,=100-(($B71-$C71)/$B71)*100
Tama,1521,1446,=100-(($B72-$C72)/$B72)*100
Kitakami,5164,4793,=100-(($B73-$C73)/$B73)*100
Ooi,4194,3816,=100-(($B74-$C74)/$B74)*100
Kiso,3679,3561,=100-(($B75-$C75)/$B75)*100
Nagara,648,609,=100-(($B76-$C76)/$B76)*100
Isuzu,1311,1015,=100-(($B77-$C77)/$B77)*100
Natori,608,540,=100-(($B78-$C78)/$B78)*100
Yura,1591,1483,=100-(($B79-$C79)/$B79)*100
Kinu,774,729,=100-(($B80-$C80)/$B80)*100
Abukuma,1853,1729,=100-(($B81-$C81)/$B81)*100
Sendai,4116,3768,=100-(($B82-$C82)/$B82)*100
Jintsuu,2205,2005,=100-(($B83-$C83)/$B83)*100
Naka,3185,3032,=100-(($B84-$C84)/$B84)*100
Yuubari,3362,3045,=100-(($B85-$C85)/$B85)*100
Agano,1283,1029,=100-(($B86-$C86)/$B86)*100
Noshiro,1162,937,=100-(($B87-$C87)/$B87)*100
Yahagi,1561,1405,=100-(($B88-$C88)/$B88)*100
Sakawa,672,641,=100-(($B89-$C89)/$B89)*100
Ooyodo,4222,3874,=100-(($B90-$C90)/$B90)*100
Gotland,642,575,=100-(($B91-$C91)/$B91)*100
Luigi_di_savoia_duca_degli_abruzzi,93,70,=100-(($B92-$C92)/$B92)*100
Giuseppe_garibaldi,126,106,=100-(($B93-$C93)/$B93)*100
Perth,168,150,=100-(($B94-$C94)/$B94)*100
De_ruyter,125,120,=100-(($B95-$C95)/$B95)*100
Atlanta,532,474,=100-(($B96-$C96)/$B96)*100
Katori,1089,859,=100-(($B97-$C97)/$B97)*100
Kashima,7104,4886,=100-(($B98-$C98)/$B98)*100
Kamikaze,1515,1344,=100-(($B99-$C99)/$B99)*100
Asakaze,557,516,=100-(($B100-$C100)/$B100)*100
Harukaze,606,550,=100-(($B101-$C101)/$B101)*100
Matsukaze,374,354,=100-(($B102-$C102)/$B102)*100
Hatakaze,383,303,=100-(($B103-$C103)/$B103)*100
Mutsuki,1869,1766,=100-(($B104-$C104)/$B104)*100
Kisaragi,1686,1526,=100-(($B105-$C105)/$B105)*100
Yayoi,1366,1253,=100-(($B106-$C106)/$B106)*100
Uzuki,2033,1888,=100-(($B107-$C107)/$B107)*100
Satsuki,2037,1925,=100-(($B108-$C108)/$B108)*100
Minazuki,425,400,=100-(($B109-$C109)/$B109)*100
Fumizuki,905,840,=100-(($B110-$C110)/$B110)*100
Nagatsuki,1453,1382,=100-(($B111-$C111)/$B111)*100
Kikuzuki,576,551,=100-(($B112-$C112)/$B112)*100
Mikazuki,651,623,=100-(($B113-$C113)/$B113)*100
Mochizuki,850,782,=100-(($B114-$C114)/$B114)*100
Fubuki,7765,7267,=100-(($B115-$C115)/$B115)*100
Shirayuki,1352,1279,=100-(($B116-$C116)/$B116)*100
Hatsuyuki,1825,1737,=100-(($B117-$C117)/$B117)*100
Miyuki,1467,1392,=100-(($B118-$C118)/$B118)*100
Murakumo,5676,5020,=100-(($B119-$C119)/$B119)*100
Isonami,1136,987,=100-(($B120-$C120)/$B120)*100
Uranami,372,339,=100-(($B121-$C121)/$B121)*100
Ayanami,1193,1108,=100-(($B122-$C122)/$B122)*100
Shikinami,1355,1262,=100-(($B123-$C123)/$B123)*100
Amagiri,229,217,=100-(($B124-$C124)/$B124)*100
Sagiri,332,298,=100-(($B125-$C125)/$B125)*100
Oboro,2018,1902,=100-(($B126-$C126)/$B126)*100
Akebono,4813,4422,=100-(($B127-$C127)/$B127)*100
Sazanami,3700,3446,=100-(($B128-$C128)/$B128)*100
Ushio,5629,4801,=100-(($B129-$C129)/$B129)*100
Akatsuki,8622,7885,=100-(($B130-$C130)/$B130)*100
Hibiki,13411,12204,=100-(($B131-$C131)/$B131)*100
Ikazuchi,9566,8818,=100-(($B132-$C132)/$B132)*100
Inazuma,11164,10415,=100-(($B133-$C133)/$B133)*100
Hatsuharu,738,662,=100-(($B134-$C134)/$B134)*100
Nenohi,792,748,=100-(($B135-$C135)/$B135)*100
Wakaba,552,529,=100-(($B136-$C136)/$B136)*100
Hatsushimo,913,868,=100-(($B137-$C137)/$B137)*100
Shiratsuyu,1769,1642,=100-(($B138-$C138)/$B138)*100
Shigure,10887,9855,=100-(($B139-$C139)/$B139)*100
Murasame,2402,2043,=100-(($B140-$C140)/$B140)*100
Yuudachi,8816,8025,=100-(($B141-$C141)/$B141)*100
Harusame,1889,1693,=100-(($B142-$C142)/$B142)*100
Samidare,3389,3184,=100-(($B143-$C143)/$B143)*100
Umikaze,1002,906,=100-(($B144-$C144)/$B144)*100
Yamakaze,2212,1939,=100-(($B145-$C145)/$B145)*100
Kawakaze,1226,1109,=100-(($B146-$C146)/$B146)*100
Suzukaze,1402,1333,=100-(($B147-$C147)/$B147)*100
Asashio,3782,2949,=100-(($B148-$C148)/$B148)*100
Ooshio,989,928,=100-(($B149-$C149)/$B149)*100
Michishio,1799,1654,=100-(($B150-$C150)/$B150)*100
Arashio,1200,1073,=100-(($B151-$C151)/$B151)*100
Asagumo,853,810,=100-(($B152-$C152)/$B152)*100
Yamagumo,666,640,=100-(($B153-$C153)/$B153)*100
Minegumo,345,289,=100-(($B154-$C154)/$B154)*100
Kasumi,3163,2773,=100-(($B155-$C155)/$B155)*100
Arare,700,653,=100-(($B156-$C156)/$B156)*100
Kagerou,2019,1900,=100-(($B157-$C157)/$B157)*100
Shiranui,3978,3715,=100-(($B158-$C158)/$B158)*100
Kuroshio,1288,1186,=100-(($B159-$C159)/$B159)*100
Oyashio,669,521,=100-(($B160-$C160)/$B160)*100
Hatsukaze,894,838,=100-(($B161-$C161)/$B161)*100
Yukikaze,5332,4981,=100-(($B162-$C162)/$B162)*100
Amatsukaze,5289,4195,=100-(($B163-$C163)/$B163)*100
Tokitsukaze,2185,1866,=100-(($B164-$C164)/$B164)*100
Urakaze,2080,1484,=100-(($B165-$C165)/$B165)*100
Isokaze,2128,1696,=100-(($B166-$C166)/$B166)*100
Hamakaze,7353,4800,=100-(($B167-$C167)/$B167)*100
Tanikaze,695,615,=100-(($B168-$C168)/$B168)*100
Nowaki,831,777,=100-(($B169-$C169)/$B169)*100
Arashi,991,869,=100-(($B170-$C170)/$B170)*100
Hagikaze,1088,928,=100-(($B171-$C171)/$B171)*100
