Name,Total,SFW,Purity %
Tracer,1477,1179,=100-(($B2-$C2)/$B2)*100
Reaper,366,318,=100-(($B3-$C3)/$B3)*100
Widowmaker,1322,962,=100-(($B4-$C4)/$B4)*100
Pharah,965,719,=100-(($B5-$C5)/$B5)*100
Reinhardt,155,143,=100-(($B6-$C6)/$B6)*100
Mercy,2737,2088,=100-(($B7-$C7)/$B7)*100
Torbjorn,84,73,=100-(($B8-$C8)/$B8)*100
Hanzo,305,257,=100-(($B9-$C9)/$B9)*100
Winston,131,113,=100-(($B10-$C10)/$B10)*100
Zenyatta,122,120,=100-(($B11-$C11)/$B11)*100
Bastion,102,92,=100-(($B12-$C12)/$B12)*100
Symmetra,322,246,=100-(($B13-$C13)/$B13)*100
Zarya,270,204,=100-(($B14-$C14)/$B14)*100
Mccree,284,256,=100-(($B15-$C15)/$B15)*100
Soldier:_76,512,450,=100-(($B16-$C16)/$B16)*100
Lucio,179,154,=100-(($B17-$C17)/$B17)*100
Roadhog,158,126,=100-(($B18-$C18)/$B18)*100
Junkrat,243,210,=100-(($B19-$C19)/$B19)*100
D.va,4077,3264,=100-(($B20-$C20)/$B20)*100
Mei,1421,1018,=100-(($B21-$C21)/$B21)*100
Genji,479,436,=100-(($B22-$C22)/$B22)*100
Ana,428,335,=100-(($B23-$C23)/$B23)*100
Sombra,486,358,=100-(($B24-$C24)/$B24)*100
Orisa,33,30,=100-(($B25-$C25)/$B25)*100
Doomfist,27,17,=100-(($B26-$C26)/$B26)*100
Moira,51,46,=100-(($B27-$C27)/$B27)*100
Brigitte,204,114,=100-(($B28-$C28)/$B28)*100
Ashe,124,55,=100-(($B29-$C29)/$B29)*100
Sigma,8,8,=100-(($B30-$C30)/$B30)*100
,0,0,=100-(($B31-$C31)/$B31)*100
