Name,Total,SFW,Purity %
Ruby_rose,2222,1979,=100-(($B2-$C2)/$B2)*100
Weiss_schnee,1962,1665,=100-(($B3-$C3)/$B3)*100
Blake_belladonna,1524,1371,=100-(($B4-$C4)/$B4)*100
Yang_xiao_long,1653,1389,=100-(($B5-$C5)/$B5)*100
Jaune_arc,225,196,=100-(($B6-$C6)/$B6)*100
Nora_valkyrie,246,219,=100-(($B7-$C7)/$B7)*100
Pyrrha_nikos,463,380,=100-(($B8-$C8)/$B8)*100
Lie_ren,127,124,=100-(($B9-$C9)/$B9)*100
Neo_politan,630,517,=100-(($B10-$C10)/$B10)*100
Cinder_fall,218,153,=100-(($B11-$C11)/$B11)*100
Mercury_black,30,28,=100-(($B12-$C12)/$B12)*100
Emerald_sustrai,148,123,=100-(($B13-$C13)/$B13)*100
Penny_polendina,234,219,=100-(($B14-$C14)/$B14)*100
Velvet_scarlatina,249,229,=100-(($B15-$C15)/$B15)*100
Coco_adel,116,101,=100-(($B16-$C16)/$B16)*100
Adam_taurus,84,83,=100-(($B17-$C17)/$B17)*100
Qrow_branwen,54,39,=100-(($B18-$C18)/$B18)*100
Raven_branwen,76,57,=100-(($B19-$C19)/$B19)*100
Taiyang_xiao_long,13,12,=100-(($B20-$C20)/$B20)*100
Summer_rose,38,33,=100-(($B21-$C21)/$B21)*100
Kali_belladonna,45,21,=100-(($B22-$C22)/$B22)*100
Ghira_belladonna,6,6,=100-(($B23-$C23)/$B23)*100
Maria_calavera,11,8,=100-(($B24-$C24)/$B24)*100
Sun_wukong,463,416,=100-(($B25-$C25)/$B25)*100
Neptune_vasilias,22,22,=100-(($B26-$C26)/$B26)*100
James_ironwood,11,10,=100-(($B27-$C27)/$B27)*100
Winter_schnee,140,98,=100-(($B28-$C28)/$B28)*100
Oscar_pine,25,25,=100-(($B29-$C29)/$B29)*100
Ilia_amitola,39,36,=100-(($B30-$C30)/$B30)*100
Harriet_bree,2,1,=100-(($B31-$C31)/$B31)*100
Glynda_goodwitch,73,59,=100-(($B32-$C32)/$B32)*100
Fox_alistair,19,19,=100-(($B33-$C33)/$B33)*100
Yatsuhashi_daichi,16,16,=100-(($B34-$C34)/$B34)*100
Hei_junior_xiong,9,9,=100-(($B35-$C35)/$B35)*100
Melanie_malachite,54,52,=100-(($B36-$C36)/$B36)*100
Miltiades_malachite,51,49,=100-(($B37-$C37)/$B37)*100
Ciel_soleil,19,18,=100-(($B38-$C38)/$B38)*100
Neon_katt,65,61,=100-(($B39-$C39)/$B39)*100
Flynt_coal,7,7,=100-(($B40-$C40)/$B40)*100
Fiona_thyme_(rwby),2,2,=100-(($B41-$C41)/$B41)*100
Willow_schnee,5,3,=100-(($B42-$C42)/$B42)*100
Saphron_cotta-arc,2,1,=100-(($B43-$C43)/$B43)*100
Terra_cotta-arc,2,1,=100-(($B44-$C44)/$B44)*100
Roman_torchwick,102,99,=100-(($B45-$C45)/$B45)*100
Sienna_khan,23,17,=100-(($B46-$C46)/$B46)*100
Vernal_(rwby),8,8,=100-(($B47-$C47)/$B47)*100
,3771752,2866840,=100-(($B48-$C48)/$B48)*100
